local,total_area_plantada_hectare,total_cacau_semente_hectare
Centro Novo do Maranhão (MA),916,-
Chapadinha (MA),5975,-
Cidelândia (MA),5290,-
Codó (MA),8087,-
Coelho Neto (MA),6362,-
Colinas (MA),9176,-
Conceição do Lago-Açu (MA),550,-
Coroatá (MA),4156,-
Cururupu (MA),526,-
Davinópolis (MA),399,-
Dom Pedro (MA),1920,-
Duque Bacelar (MA),1058,-
Esperantinópolis (MA),1830,-
Estreito (MA),1651,-
Feira Nova do Maranhão (MA),4355,-
Fernando Falcão (MA),9386,-
Formosa da Serra Negra (MA),2422,-
Fortaleza dos Nogueiras (MA),19280,-
Fortuna (MA),3397,-
Godofredo Viana (MA),313,-
Gonçalves Dias (MA),1818,-
Governador Archer (MA),626,-
Governador Edison Lobão (MA),289,-
Governador Eugênio Barros (MA),3604,-
Governador Luiz Rocha (MA),4261,-
Governador Newton Bello (MA),584,-
Governador Nunes Freire (MA),1459,-
Graça Aranha (MA),1286,-
Grajaú (MA),29000,-
Guimarães (MA),864,-
Humberto de Campos (MA),908,-
Icatu (MA),923,-
Igarapé do Meio (MA),358,-
Igarapé Grande (MA),734,-
Imperatriz (MA),292,-
Itaipava do Grajaú (MA),907,-
Itapecuru Mirim (MA),2619,-
Itinga do Maranhão (MA),22519,-
Jatobá (MA),3782,-
Jenipapo dos Vieiras (MA),1518,-
João Lisboa (MA),345,-
Joselândia (MA),759,-
Junco do Maranhão (MA),470,-
Lago da Pedra (MA),5394,-
Lago do Junco (MA),916,-
Lago Verde (MA),569,-
Lagoa do Mato (MA),2725,-
Lago dos Rodrigues (MA),1024,-
Lagoa Grande do Maranhão (MA),1257,-
Lajeado Novo (MA),1053,-
Lima Campos (MA),1082,-
Loreto (MA),52793,-
Luís Domingues (MA),264,-
Magalhães de Almeida (MA),6696,-
Maracaçumé (MA),805,-
Marajá do Sena (MA),2147,-
Maranhãozinho (MA),1085,-
Mata Roma (MA),10273,-
Matinha (MA),1007,-
Matões (MA),5506,-
Matões do Norte (MA),1531,-
Milagres do Maranhão (MA),5150,-
Mirador (MA),17426,-
Miranda do Norte (MA),676,-
Mirinzal (MA),1040,-
Monção (MA),1293,-
Montes Altos (MA),567,-
Morros (MA),937,-
Nina Rodrigues (MA),484,-
Nova Colinas (MA),4535,-
Nova Iorque (MA),2001,-
Nova Olinda do Maranhão (MA),1131,-
Olho d'Água das Cunhãs (MA),639,-
Olinda Nova do Maranhão (MA),721,-
Paço do Lumiar (MA),146,-
Palmeirândia (MA),2318,-
Paraibano (MA),2139,-
Parnarama (MA),14284,-
Passagem Franca (MA),3750,-
Pastos Bons (MA),11067,-
Paulino Neves (MA),1116,-
Paulo Ramos (MA),1501,-
Pedreiras (MA),852,-
Pedro do Rosário (MA),1973,-
Penalva (MA),1658,-
Peri Mirim (MA),1028,-
Peritoró (MA),1262,-
Pindaré-Mirim (MA),356,-
Pinheiro (MA),2305,-
Pio XII (MA),991,-
Pirapemas (MA),1204,-
Poção de Pedras (MA),1424,-
Porto Franco (MA),923,-
Porto Rico do Maranhão (MA),735,-
Presidente Dutra (MA),1966,-
Presidente Juscelino (MA),681,-
Presidente Médici (MA),634,-
Presidente Sarney (MA),1970,-
Presidente Vargas (MA),895,-
Primeira Cruz (MA),423,-
Raposa (MA),29,-
Riachão (MA),77175,-
Ribamar Fiquene (MA),1949,-
Rosário (MA),222,-
Sambaíba (MA),68163,-
Santa Filomena do Maranhão (MA),1006,-
Santa Helena (MA),920,-
Santa Inês (MA),543,-
Santa Luzia (MA),20058,-
Santa Luzia do Paruá (MA),1230,-
Santa Quitéria do Maranhão (MA),5995,-
Santa Rita (MA),704,-
Santana do Maranhão (MA),1522,-
Santo Amaro do Maranhão (MA),3021,-
Santo Antônio dos Lopes (MA),1675,-
São Benedito do Rio Preto (MA),2987,-
São Bento (MA),1259,-
São Bernardo (MA),4037,-
São Domingos do Azeitão (MA),39807,-
São Domingos do Maranhão (MA),6824,-
São Félix de Balsas (MA),4362,-
São Francisco do Brejão (MA),625,-
São Francisco do Maranhão (MA),1939,-
São João Batista (MA),499,-
São João do Carú (MA),792,-
São João do Paraíso (MA),820,-
São João do Soter (MA),4120,-
São João dos Patos (MA),4461,-
São José de Ribamar (MA),52,-
São José dos Basílios (MA),1939,-
São Luís (MA),61,-
São Luís Gonzaga do Maranhão (MA),1984,-
São Mateus do Maranhão (MA),5288,-
São Pedro da Água Branca (MA),614,-
São Pedro dos Crentes (MA),1006,-
São Raimundo das Mangabeiras (MA),63285,-
São Raimundo do Doca Bezerra (MA),946,-
São Roberto (MA),460,-
São Vicente Ferrer (MA),1363,-
Satubinha (MA),551,-
Senador Alexandre Costa (MA),5169,-
Senador La Rocque (MA),286,-
Serrano do Maranhão (MA),1103,-
Sítio Novo (MA),3077,-
Sucupira do Norte (MA),5903,-
Sucupira do Riachão (MA),857,-
Tasso Fragoso (MA),264267,-
Timbiras (MA),2599,-
Timon (MA),4114,-
Trizidela do Vale (MA),899,-
Tufilândia (MA),216,-
Tuntum (MA),10002,-
Turiaçu (MA),3347,-
Turilândia (MA),1490,-
Tutóia (MA),3363,-
Urbano Santos (MA),2968,-
Vargem Grande (MA),2272,-
Viana (MA),2059,-
Vila Nova dos Martírios (MA),4135,-
Vitória do Mearim (MA),2093,-
Vitorino Freire (MA),2205,-
Zé Doca (MA),1634,-
Acauã (PI),5409,-
Agricolândia (PI),1705,-
Água Branca (PI),638,-
Alagoinha do Piauí (PI),7022,-
Alegrete do Piauí (PI),5522,-
Alto Longá (PI),3065,-
Altos (PI),1663,-
Alvorada do Gurguéia (PI),2943,-
Amarante (PI),4029,-
Angical do Piauí (PI),997,-
Anísio de Abreu (PI),3200,-
Antônio Almeida (PI),6989,-
Aroazes (PI),940,-
Aroeiras do Itaim (PI),3534,-
Arraial (PI),1251,-
Assunção do Piauí (PI),2041,-
Avelino Lopes (PI),1940,-
Baixa Grande do Ribeiro (PI),274417,-
Barra D'Alcântara (PI),710,-
Barras (PI),5549,-
Barreiras do Piauí (PI),505,-
Barro Duro (PI),1432,-
Batalha (PI),4348,-
Bela Vista do Piauí (PI),2260,-
Belém do Piauí (PI),2486,-
Beneditinos (PI),1654,-
Bertolínia (PI),700,-
Betânia do Piauí (PI),2380,-
Boa Hora (PI),1588,-
Bocaina (PI),2259,-
Bom Jesus (PI),103937,-
Bom Princípio do Piauí (PI),8209,-
Bonfim do Piauí (PI),2138,-
Boqueirão do Piauí (PI),952,-
Brasileira (PI),976,-
Brejo do Piauí (PI),1340,-
Buriti dos Lopes (PI),5302,-
Buriti dos Montes (PI),1789,-
Cabeceiras do Piauí (PI),1440,-
Cajazeiras do Piauí (PI),893,-
Cajueiro da Praia (PI),2600,-
Caldeirão Grande do Piauí (PI),9410,-
Campinas do Piauí (PI),1468,-
Campo Alegre do Fidalgo (PI),1504,-
Campo Grande do Piauí (PI),6320,-
Campo Largo do Piauí (PI),906,-
Campo Maior (PI),2543,-
Canavieira (PI),1580,-
Canto do Buriti (PI),9099,-
Capitão de Campos (PI),1800,-
Capitão Gervásio Oliveira (PI),519,-
Caracol (PI),5253,-
Caraúbas do Piauí (PI),734,-
Caridade do Piauí (PI),2270,-
Castelo do Piauí (PI),2901,-
Caxingó (PI),674,-
Cocal (PI),20740,-
Cocal de Telha (PI),900,-
Cocal dos Alves (PI),6107,-
Coivaras (PI),1511,-
Colônia do Gurguéia (PI),544,-
Colônia do Piauí (PI),1708,-
Conceição do Canindé (PI),483,-
Coronel José Dias (PI),1460,-
Corrente (PI),21829,-
Cristalândia do Piauí (PI),2468,-
Cristino Castro (PI),801,-
Curimatá (PI),1950,-
Currais (PI),66498,-
Curralinhos (PI),711,-
Curral Novo do Piauí (PI),2185,-
Demerval Lobão (PI),541,-
Dirceu Arcoverde (PI),1215,-
Dom Expedito Lopes (PI),3313,-
Domingos Mourão (PI),1585,-
Dom Inocêncio (PI),4862,-
Elesbão Veloso (PI),4247,-
Eliseu Martins (PI),1705,-
Esperantina (PI),4352,-
Fartura do Piauí (PI),1340,-
Flores do Piauí (PI),1430,-
Floresta do Piauí (PI),409,-
Floriano (PI),3355,-
Francinópolis (PI),786,-
Francisco Ayres (PI),2667,-
Francisco Macedo (PI),1075,-
Francisco Santos (PI),4590,-
Fronteiras (PI),5900,-
Geminiano (PI),3308,-
Gilbués (PI),52606,-
Guadalupe (PI),2321,-
Guaribas (PI),2052,-
Hugo Napoleão (PI),887,-
Ilha Grande (PI),661,-
Inhuma (PI),7518,-
Ipiranga do Piauí (PI),1768,-
Isaías Coelho (PI),3273,-
Itainópolis (PI),5617,-
Itaueira (PI),9335,-
Jacobina do Piauí (PI),1672,-
Jaicós (PI),8860,-
Jardim do Mulato (PI),1035,-
Jatobá do Piauí (PI),2037,-
Jerumenha (PI),365,-
João Costa (PI),518,-
Joaquim Pires (PI),1950,-
Joca Marques (PI),669,-
José de Freitas (PI),7273,-
Juazeiro do Piauí (PI),1552,-
Júlio Borges (PI),1345,-
Jurema (PI),2816,-
Lagoinha do Piauí (PI),410,-
Lagoa Alegre (PI),925,-
Lagoa do Barro do Piauí (PI),1489,-
Lagoa de São Francisco (PI),1372,-
Lagoa do Piauí (PI),803,-
Lagoa do Sítio (PI),4405,-
Landri Sales (PI),9327,-
Luís Correia (PI),12032,-
Luzilândia (PI),1976,-
Madeiro (PI),852,-
Manoel Emídio (PI),1239,-
Marcolândia (PI),3608,-
Marcos Parente (PI),408,-
Massapê do Piauí (PI),1807,-
Matias Olímpio (PI),1069,-
Miguel Alves (PI),7060,-
Miguel Leão (PI),313,-
Milton Brandão (PI),2374,-
Monsenhor Gil (PI),1181,-
Monsenhor Hipólito (PI),5150,-
Monte Alegre do Piauí (PI),25450,-
Morro Cabeça no Tempo (PI),1678,-
Morro do Chapéu do Piauí (PI),1057,-
Murici dos Portelas (PI),1741,-
Nazaré do Piauí (PI),432,-
Nazária (PI),577,-
Nossa Senhora de Nazaré (PI),803,-
Nossa Senhora dos Remédios (PI),1048,-
Novo Oriente do Piauí (PI),1529,-
Novo Santo Antônio (PI),753,-
Oeiras (PI),5982,-
Olho D'Água do Piauí (PI),994,-
Padre Marcos (PI),3803,-
Paes Landim (PI),1161,-
Pajeú do Piauí (PI),1493,-
Palmeira do Piauí (PI),29997,-
Palmeirais (PI),6497,-
Paquetá (PI),3869,-
Parnaguá (PI),1669,-
Parnaíba (PI),1409,-
Passagem Franca do Piauí (PI),767,-
Patos do Piauí (PI),2734,-
Pau D'Arco do Piauí (PI),649,-
Paulistana (PI),4032,-
Pavussu (PI),1700,-
Pedro II (PI),4055,-
Pedro Laurentino (PI),761,-
Nova Santa Rita (PI),1902,-
Picos (PI),5325,-
Pimenteiras (PI),4766,-
Pio IX (PI),40116,-
Piracuruca (PI),5152,-
Piripiri (PI),3614,-
Porto (PI),618,-
Porto Alegre do Piauí (PI),345,-
Prata do Piauí (PI),153,-
Queimada Nova (PI),2255,-
Redenção do Gurguéia (PI),2176,-
Regeneração (PI),12692,-
Riacho Frio (PI),647,-
Ribeira do Piauí (PI),561,-
Ribeiro Gonçalves (PI),102814,-
Rio Grande do Piauí (PI),1338,-
Santa Cruz do Piauí (PI),1185,-
Santa Cruz dos Milagres (PI),677,-
Santa Filomena (PI),78380,-
Santa Luz (PI),1609,-
Santana do Piauí (PI),2659,-
Santa Rosa do Piauí (PI),1484,-
Santo Antônio de Lisboa (PI),4174,-
Santo Antônio dos Milagres (PI),257,-
Santo Inácio do Piauí (PI),554,-
São Braz do Piauí (PI),2621,-
São Félix do Piauí (PI),814,-
São Francisco de Assis do Piauí (PI),1595,-
São Francisco do Piauí (PI),1288,-
São Gonçalo do Gurguéia (PI),1603,-
São Gonçalo do Piauí (PI),3300,-
São João da Canabrava (PI),4038,-
São João da Fronteira (PI),676,-
