local,total_area_plantada_hectare,total_cacau_semente_hectare
Bela Vista do Piauí (PI),2281,-
Belém do Piauí (PI),1057,-
Beneditinos (PI),1685,-
Bertolínia (PI),821,-
Betânia do Piauí (PI),1730,-
Boa Hora (PI),2068,-
Bocaina (PI),1538,-
Bom Jesus (PI),120727,-
Bom Princípio do Piauí (PI),7503,-
Bonfim do Piauí (PI),2512,-
Boqueirão do Piauí (PI),1010,-
Brasileira (PI),1035,-
Brejo do Piauí (PI),1614,-
Buriti dos Lopes (PI),5648,-
Buriti dos Montes (PI),2499,-
Cabeceiras do Piauí (PI),1495,-
Cajazeiras do Piauí (PI),730,-
Cajueiro da Praia (PI),2450,-
Caldeirão Grande do Piauí (PI),8112,-
Campinas do Piauí (PI),2300,-
Campo Alegre do Fidalgo (PI),2225,-
Campo Grande do Piauí (PI),4450,-
Campo Largo do Piauí (PI),811,-
Campo Maior (PI),2630,-
Canavieira (PI),1571,-
Canto do Buriti (PI),11070,-
Capitão de Campos (PI),2260,-
Capitão Gervásio Oliveira (PI),395,-
Caracol (PI),5798,-
Caraúbas do Piauí (PI),743,-
Caridade do Piauí (PI),946,-
Castelo do Piauí (PI),3243,-
Caxingó (PI),733,-
Cocal (PI),22062,-
Cocal de Telha (PI),616,-
Cocal dos Alves (PI),6311,-
Coivaras (PI),1559,-
Colônia do Gurguéia (PI),339,-
Colônia do Piauí (PI),1853,-
Conceição do Canindé (PI),757,-
Coronel José Dias (PI),1763,-
Corrente (PI),25644,-
Cristalândia do Piauí (PI),1397,-
Cristino Castro (PI),743,-
Curimatá (PI),2513,-
Currais (PI),86815,-
Curralinhos (PI),665,-
Curral Novo do Piauí (PI),3050,-
Demerval Lobão (PI),566,-
Dirceu Arcoverde (PI),1195,-
Dom Expedito Lopes (PI),2674,-
Domingos Mourão (PI),1859,-
Dom Inocêncio (PI),3083,-
Elesbão Veloso (PI),1526,-
Eliseu Martins (PI),1725,-
Esperantina (PI),4377,-
Fartura do Piauí (PI),1442,-
Flores do Piauí (PI),1505,-
Floresta do Piauí (PI),790,-
Floriano (PI),3329,-
Francinópolis (PI),639,-
Francisco Ayres (PI),2783,-
Francisco Macedo (PI),941,-
Francisco Santos (PI),4020,-
Fronteiras (PI),6120,-
Geminiano (PI),6168,-
Gilbués (PI),64535,-
Guadalupe (PI),2247,-
Guaribas (PI),2057,-
Hugo Napoleão (PI),905,-
Ilha Grande (PI),550,-
Inhuma (PI),7604,-
Ipiranga do Piauí (PI),1646,-
Isaías Coelho (PI),3326,-
Itainópolis (PI),5661,-
Itaueira (PI),10113,-
Jacobina do Piauí (PI),790,-
Jaicós (PI),4360,-
Jardim do Mulato (PI),1050,-
Jatobá do Piauí (PI),2105,-
Jerumenha (PI),599,-
João Costa (PI),545,-
Joaquim Pires (PI),1944,-
Joca Marques (PI),665,-
José de Freitas (PI),7764,-
Juazeiro do Piauí (PI),1524,-
Júlio Borges (PI),1197,-
Jurema (PI),3223,-
Lagoinha do Piauí (PI),367,-
Lagoa Alegre (PI),925,-
Lagoa do Barro do Piauí (PI),1804,-
Lagoa de São Francisco (PI),1461,-
Lagoa do Piauí (PI),815,-
Lagoa do Sítio (PI),5008,-
Landri Sales (PI),8783,-
Luís Correia (PI),12723,-
Luzilândia (PI),2627,-
Madeiro (PI),863,-
Manoel Emídio (PI),700,-
Marcolândia (PI),3554,-
Marcos Parente (PI),414,-
Massapê do Piauí (PI),1664,-
Matias Olímpio (PI),1118,-
Miguel Alves (PI),8899,-
Miguel Leão (PI),318,-
Milton Brandão (PI),2903,-
Monsenhor Gil (PI),1196,-
Monsenhor Hipólito (PI),7265,-
Monte Alegre do Piauí (PI),30435,-
Morro Cabeça no Tempo (PI),1141,-
Morro do Chapéu do Piauí (PI),1144,-
Murici dos Portelas (PI),1748,-
Nazaré do Piauí (PI),439,-
Nazária (PI),608,-
Nossa Senhora de Nazaré (PI),805,-
Nossa Senhora dos Remédios (PI),999,-
Novo Oriente do Piauí (PI),1463,-
Novo Santo Antônio (PI),707,-
Oeiras (PI),7169,-
Olho D'Água do Piauí (PI),834,-
Padre Marcos (PI),2490,-
Paes Landim (PI),1055,-
Pajeú do Piauí (PI),1538,-
Palmeira do Piauí (PI),21515,-
Palmeirais (PI),6095,-
Paquetá (PI),3521,-
Parnaguá (PI),2250,-
Parnaíba (PI),1359,-
Passagem Franca do Piauí (PI),432,-
Patos do Piauí (PI),1044,-
Pau D'Arco do Piauí (PI),654,-
Paulistana (PI),1496,-
Pavussu (PI),1629,-
Pedro II (PI),4242,-
Pedro Laurentino (PI),859,-
Nova Santa Rita (PI),1925,-
Picos (PI),4762,-
Pimenteiras (PI),5069,-
Pio IX (PI),40865,-
Piracuruca (PI),6873,-
Piripiri (PI),3684,-
Porto (PI),740,-
Porto Alegre do Piauí (PI),3334,-
Prata do Piauí (PI),128,-
Queimada Nova (PI),1421,-
Redenção do Gurguéia (PI),3102,-
Regeneração (PI),19566,-
Riacho Frio (PI),545,-
Ribeira do Piauí (PI),635,-
Ribeiro Gonçalves (PI),135471,-
Rio Grande do Piauí (PI),1107,-
Santa Cruz do Piauí (PI),1687,-
Santa Cruz dos Milagres (PI),672,-
Santa Filomena (PI),118403,-
Santa Luz (PI),1492,-
